Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;;;;;;;;;;;;;;
07/12/1997;18;35;37;50;54;;;;;;;;;;;;;;
11/12/1997;3;33;44;77;78;;;;;;;;;;;;;;
14/12/1997;11;29;42;63;72;;;;;;;;;;;;;;
18/12/1997;12;33;51;60;80;;;;;;;;;;;;;;
21/12/1997;11;46;49;60;71;;;;;;;;;;;;;;
28/12/1997;20;40;59;68;80;;;;;;;;;;;;;;
04/01/1998;17;50;69;73;76;;;;;;;;;;;;;;
08/01/1998;17;31;51;60;74;;;;;;;;;;;;;;
11/01/1998;3;25;30;32;62;;;;;;;;;;;;;;
15/01/1998;10;31;37;61;74;;;;;;;;;;;;;;
18/01/1998;7;10;32;54;59;;;;;;;;;;;;;;
22/01/1998;41;58;61;66;80;;;;;;;;;;;;;;
25/01/1998;6;11;43;46;58;;;;;;;;;;;;;;
29/01/1998;6;28;32;51;80;;;;;;;;;;;;;;
01/02/1998;12;14;26;27;75;;;;;;;;;;;;;;
05/02/1998;9;30;38;56;76;;;;;;;;;;;;;;
08/02/1998;1;12;49;55;76;;;;;;;;;;;;;;
12/02/1998;16;26;36;41;78;;;;;;;;;;;;;;
15/02/1998;27;44;45;56;71;;;;;;;;;;;;;;
19/02/1998;2;12;14;16;29;;;;;;;;;;;;;;
22/02/1998;1;17;47;68;71;;;;;;;;;;;;;;
01/03/1998;4;19;48;76;80;;;;;;;;;;;;;;
05/03/1998;5;16;34;40;73;;;;;;;;;;;;;;
08/03/1998;11;29;36;38;67;;;;;;;;;;;;;;
12/03/1997;1;7;28;48;73;;;;;;;;;;;;;;
15/03/1998;7;15;45;53;66;;;;;;;;;;;;;;
19/03/1998;4;17;19;51;62;;;;;;;;;;;;;;
22/03/1998;1;2;4;6;28;;;;;;;;;;;;;;
26/03/1998;36;50;55;58;75;;;;;;;;;;;;;;
29/03/1998;18;29;35;63;68;;;;;;;;;;;;;;
31/03/1998;15;17;18;25;44;;;;;;;;;;;;;;
02/04/1998;26;32;45;62;77;;;;;;;;;;;;;;
04/04/1998;17;36;67;69;77;;;;;;;;;;;;;;
07/04/1998;25;38;57;69;78;;;;;;;;;;;;;;
11/04/1998;19;30;35;48;76;;;;;;;;;;;;;;
14/04/1998;20;43;47;62;74;;;;;;;;;;;;;;
16/04/1998;11;17;26;48;56;;;;;;;;;;;;;;
18/04/1998;17;37;53;71;76;;;;;;;;;;;;;;
23/04/1998;1;6;38;65;70;;;;;;;;;;;;;;
